repository,owner_repo,tags,zip_sha256
https://github.com/CenMeow/markdown-new-skill,CenMeow/markdown-new-skill,skill,be987bce590864f46797f5ae349371f39b6b90db4ecb476f88b0dbd43942a6ca
https://github.com/Cesarin999/claude-code-agents-wizard-v2,Cesarin999/claude-code-agents-wizard-v2,claude,21347ed951554ce4728022e0dcbcb5d1ed1f0b299a857096c10b2bb799cdfb80
https://github.com/Chance6969-hue/__2025_07_08_tvdi_crawler__,Chance6969-hue/__2025_07_08_tvdi_crawler__,parser,898b7e6337f7a5487133506bbdd502d1badd0ab09b40388c639f255f27036c4d
https://github.com/ClickBoom-dev/dotskills,ClickBoom-dev/dotskills,skill,ce00e4a5abcd584236bbbff93348293efe9a2feff9501445e1d9873d0114d5c7
https://github.com/CoDiGet/agent-skill-git-checkpoint,CoDiGet/agent-skill-git-checkpoint,skill,4d462a1ef107126ba9d372def1edd1b69b97e77731a0f6923259cd6f9e68aa65
https://github.com/ColdTimesAreGood/openclaw-setup,ColdTimesAreGood/openclaw-setup,openclaw,d515162b64bbc15c0be358b3acf0c44385d13f9b92aac1c19f228ef8bf7a5723
https://github.com/Coldwavegenusthespesia630/skill-guide,Coldwavegenusthespesia630/skill-guide,skill,e2e497393664766f9e160001d1ac9c45ce9d8c8e63082c2cb200bbec1a4a3828
https://github.com/Collinstudied660/mcp-hub,Collinstudied660/mcp-hub,mcp,6a1f7799f5cd7396b38c2cec4a85a32b4f7cf35c937fa35a36fb1406e7764c41
https://github.com/Consequential-stateswoman97/OpenClaw-PwnKit,Consequential-stateswoman97/OpenClaw-PwnKit,openclaw,31b2456653893360dd952331813f31bcbb10fd9bd78a2f28799d11bb52b914af
https://github.com/Corryrevokable963/claude-code-book,Corryrevokable963/claude-code-book,claude,117372caf05235f68352c9742f83aa0c30e3553b929b95249470b277627aeaa5
https://github.com/CyberJhay/openclaw-min-bundle,CyberJhay/openclaw-min-bundle,openclaw,074092d1e230c2cd848ccf46270d19de84018c3ed970b536749083f8a531ae44
https://github.com/David-Li0406/meta-skill-evloving,David-Li0406/meta-skill-evloving,skill,cdd699b2fd7d99f462a1176b722c10870fe19f26cb84587908e9ea9053d10c56
https://github.com/Didiye/mcp-dadosbr,Didiye/mcp-dadosbr,mcp,8d46471691f75414eee1827f60b85955d95c8760a07e5bf4068faa96b286c285
https://github.com/Dinesh3184/claude-session-sync,Dinesh3184/claude-session-sync,claude,9f9ce9c1138e51951d85cd9b142f9a218c3dfefc0d18ad511bc4ef8a08360301
https://github.com/Diuli4587/vulk-mcp-server,Diuli4587/vulk-mcp-server,mcp,6c99d82816ad5eb37ca81be537ace1b213753b9be7d76b15533911288d637808
https://github.com/Divine-myositistrichinosa310/blog-writer_mcp,Divine-myositistrichinosa310/blog-writer_mcp,mcp,3c620e0987f682cc984061130d0a0b0b52325fcad491ce7d945ff727faef6e59
https://github.com/DomingosNgongo/walmart-mcp,DomingosNgongo/walmart-mcp,mcp,c15693106682f2ddb26649cab6e1962a64537627cde4c5d3c79d5a0be8c1b5a8
https://github.com/Dominotypist3077/fluent-mcp-servers,Dominotypist3077/fluent-mcp-servers,mcp,7e00e13d3f7ae7d9d9189659afa50569c9af88724e11bd735f294e67dd2cceca
https://github.com/Donmandela/gsc-mcp,Donmandela/gsc-mcp,mcp,37fa8955f17ebb5c90d6a20dc67a9e9abbf0fdef4072912ad323439402e2842b
https://github.com/DuyDan1305/claude-code-memory-setup,DuyDan1305/claude-code-memory-setup,claude,b7f25528d88d74210758f2651f755dfeb593f4101c660d5b0842d9c5c54cf123
https://github.com/E41240390-SaifulRizal-A/claude-interactive-documentation-workflow,E41240390-SaifulRizal-A/claude-interactive-documentation-workflow,claude,08230d446aed9914b8999334038449e2cd6078470aacd386624f5093aac499fe
https://github.com/ELSAKKK/mnemos-mcp,ELSAKKK/mnemos-mcp,mcp,15b3896b7c9b88a661650ceaf14af1bed40bc52cb3b32f975323596144c268a5
https://github.com/EVANONAAN/Web-Spider-Linux-shell-script,EVANONAAN/Web-Spider-Linux-shell-script,parser,24be4c5f61eb2efcbce5895e19c9ace23887ac69ae842618f8bfd7d157271e8a
https://github.com/Earnest-clockworkuniverse497/mcp-annas-archive-create-skill,Earnest-clockworkuniverse497/mcp-annas-archive-create-skill,skill,mcp,699d72e683564bc08acddf4f5f72194d8e1d8fa2287331695f581e75c7d3e6ce
https://github.com/Einherjar99/bggg-skill-taotie,Einherjar99/bggg-skill-taotie,skill,104b8c9713620cdcbd90479a0d265c9f3263b20120c718e6d7c557e0326596c4
https://github.com/Eleusio705/claude-jobs,Eleusio705/claude-jobs,claude,f657b3b557f4a1a5dfffaa39ecaa12ddcf7166480cd29c643a981dda1096f529
https://github.com/Eliott0557/openclaw,Eliott0557/openclaw,openclaw,25361cef9169b7115b2258108e70fca41a81987e08f6c380ec18c856204b08cb
https://github.com/Emagi6395/skills,Emagi6395/skills,skill,73f9ef26009056d6bdfc9f361ebc4052f3dbf3d6c8dbeb14dfc3a4abf3dae784
